det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

mark	letting	2	By	1
root	.	0	letting	2
obj	letting	2	it	3
xcomp	letting	2	sit	4
case	dish	7	in	5
det	dish	7	a	6
obl	sit	4	dish	7
case	day	10	for	8
det	day	10	a	9
obl	sit	4	day	10
punct	letting	2	.	11

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

root	.	0	Let	1
det	water	3	the	2
obj	Let	1	water	3
xcomp	Let	1	evaporate	4
cc	left	9	and	5
det	salt	7	the	6
nsubj:pass	left	9	salt	7
aux:pass	left	9	is	8
conj	Let	1	left	9
obl	left	9	behind	10
punct	Let	1	.	11

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

det	water	2	The	1
nsubj	evaporated	3	water	2
root	.	0	evaporated	3
cc	left	5	and	4
conj	evaporated	3	left	5
compound	crystals	7	salt	6
obj	left	5	crystals	7
punct	evaporated	3	.	8

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	saw	2	I	1
root	.	0	saw	2
det	color	6	a	3
amod	color	6	pinkish	4
amod	color	6	grayish	5
obj	saw	2	color	6
nsubj	blocking	9	that	7
aux	blocking	9	was	8
acl:relcl	color	6	blocking	9
det	water	11	the	10
obj	blocking	9	water	11
punct	saw	2	.	12

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	have	2	You	1
root	.	0	have	2
mark	tip	5	to	3
advmod	tip	5	slowly	4
xcomp	have	2	tip	5
det	vial	7	the	6
obj	tip	5	vial	7
case	water	11	for	8
advmod	water	11	only	9
det	water	11	the	10
obl	tip	5	water	11
mark	go	13	to	12
advcl	tip	5	go	13
punct	have	2	.	14

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

mark	pouring	2	By	1
root	.	0	pouring	2
det	water	4	the	3
obj	pouring	2	water	4
cc	salt	6	and	5
conj	water	4	salt	6
case	thing	9	into	7
det	thing	9	the	8
obl	pouring	2	thing	9
punct	letting	12	,	10
cc	letting	12	and	11
conj	pouring	2	letting	12
det	water	14	the	13
obj	letting	12	water	14
xcomp	letting	12	evaporate	15
punct	pouring	2	.	16

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

mark	pouring	3	By	1
advmod	pouring	3	slowly	2
root	.	0	pouring	3
obj	pouring	3	it	4
case	tray	7	in	5
det	tray	7	a	6
obl	pouring	3	tray	7
punct	pouring	3	.	8

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

det	water	2	The	1
nsubj	evaporated	3	water	2
root	.	0	evaporated	3
advmod	was	6	so	4
expl	was	6	there	5
conj	evaporated	3	was	6
advmod	salt	8	only	7
nsubj	was	6	salt	8
xcomp	was	6	left	9
punct	evaporated	3	.	10

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	put	2	We	1
root	.	0	put	2
det	water	4	the	3
obj	put	2	water	4
case	salt	7	with	5
det	salt	7	the	6
obl	put	2	salt	7
case	it	9	in	8
obl	put	2	it	9
cc	put	11	and	10
conj	put	2	put	11
obj	put	11	it	12
advmod	put	11	outside	13
case	water	16	for	14
det	water	16	the	15
obl	put	11	water	16
mark	evaporate	18	to	17
advcl	put	11	evaporate	18
punct	put	2	.	19

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	separated	2	I	1
root	.	0	separated	2
det	salt	4	the	3
obj	separated	2	salt	4
case	water	7	from	5
det	water	7	the	6
obl	separated	2	water	7
mark	rocks	14	because	8
det	salt	10	the	9
nsubj	rocks	14	salt	10
cop	rocks	14	are	11
case	rocks	14	on	12
det	rocks	14	the	13
advcl	separated	2	rocks	14
nsubj	bottom	19	that	15
cop	bottom	19	are	16
case	bottom	19	on	17
det	bottom	19	the	18
acl:relcl	rocks	14	bottom	19
cc	top	26	and	20
det	water	22	the	21
nsubj	top	26	water	22
cop	top	26	is	23
case	top	26	on	24
det	top	26	the	25
conj	bottom	19	top	26
punct	separated	2	.	27

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

mark	see	4	Because	1
nsubj	see	4	you	2
aux	see	4	can	3
root	.	0	see	4
obj	see	4	salt	5
case	water	7	in	6
obl	see	4	water	7
punct	see	4	.	8

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	let	2	I	1
root	.	0	let	2
det	water	4	the	3
obj	let	2	water	4
xcomp	let	2	evaporate	5
punct	let	2	.	6

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

det	water	2	The	1
nsubj	dried	3	water	2
root	.	0	dried	3
compound:prt	dried	3	up	4
cc	left	6	and	5
conj	dried	3	left	6
det	salt	8	the	7
obj	left	6	salt	8
punct	dried	3	.	9

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	let	2	We	1
root	.	0	let	2
det	water	4	the	3
obj	let	2	water	4
xcomp	let	2	evaporate	5
punct	let	2	.	6

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

det	water	2	The	1
nsubj:pass	dried	3	water	2
root	.	0	dried	3
compound:prt	dried	3	up	4
punct	dried	3	.	5

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	get	3	You	1
advmod	get	3	just	2
root	.	0	get	3
obj	get	3	water	4
cc	rock	9	and	5
det	rock	9	the	6
amod	rock	9	smashed	7
compound	rock	9	mock	8
conj	water	4	rock	9
cc	put	11	and	10
conj	get	3	put	11
det	rock	14	the	12
amod	rock	14	smashed	13
obj	put	11	rock	14
cc	water	16	and	15
conj	rock	14	water	16
advmod	put	11	together	17
punct	get	3	.	18

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	put	2	You	1
root	.	0	put	2
det	water	4	the	3
obj	put	2	water	4
punct	bit	8	,	5
det	bit	8	a	6
amod	bit	8	little	7
obl:npmod	put	2	bit	8
punct	cup	12	,	9
case	cup	12	in	10
det	cup	12	a	11
obl	put	2	cup	12
cc	leave	14	and	13
conj	put	2	leave	14
obj	leave	14	it	15
advmod	leave	14	overnight	16
punct	put	2	.	17

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	evaporated	2	We	1
root	.	0	evaporated	2
det	salt	4	the	3
obj	evaporated	2	salt	4
case	water	7	from	5
det	water	7	the	6
obl	evaporated	2	water	7
mark	evaporated	11	because	8
det	water	10	the	9
nsubj	evaporated	11	water	10
advcl	evaporated	2	evaporated	11
cc	separated	13	and	12
conj	evaporated	11	separated	13
punct	evaporated	2	.	14

det	water	2	The	1
nsubj:pass	evaporated	4	water	2
aux:pass	evaporated	4	was	3
root	.	0	evaporated	4
punct	leaving	6	,	5
advcl	evaporated	4	leaving	6
det	salt	8	the	7
obj	leaving	6	salt	8
punct	evaporated	4	.	9

nsubj	put	2	We	1
root	.	0	put	2
det	water	4	the	3
obj	put	2	water	4
cc	salt	6	and	5
conj	water	4	salt	6
case	dish	10	in	7
det	dish	10	the	8
compound	dish	10	Petri	9
obl	put	2	dish	10
punct	put	2	.	11
det	water	13	The	12
nsubj	evaporated	14	water	13
root	.	11	evaporated	14
cc	became	18	and	15
det	salt	17	the	16
nsubj	became	18	salt	17
conj	evaporated	14	became	18
